SubLocation,Country,latlon,place,sub_latlon,sub_place,FlighNumber
Douala Airport,Cameroon,"(7.369721999999999, 12.354722)",Cameroon,"(4.01346, 9.717018)","Douala International Airport (DLA), Douala, Cameroon",1501
Dillon Airport,United States of America,"(37.09024, -95.712891)",United States,"(45.25528, -112.552498)","Dillon Airport-Dln, 2400 Airport Rd, Dillon, MT 59725, USA",1502
Hamilton-Ravalli County Airport,United States of America,"(37.09024, -95.712891)",United States,"(46.2540363, -114.1271013)","Ravalli County Airport, 203 Airport Rd, Hamilton, MT 59840, USA",1503
near Kopinang,Guyana,"(4.860416, -58.93018)",Guyana,"(4.933333, -59.8)","Kopinang Mission, Guyana",1504
Abu Dhabi International AirportAUH),United Arab Emirates,"(23.424076, 53.847818)",United Arab Emirates,"(24.441938, 54.6500736)",Abu Dhabi International Airport (AUH) - Abu Dhabi - United Arab Emirates,1505
Governor's Harbour AirportGHB),Bahamas,"(25.03428, -77.39627999999999)",The Bahamas,"(25.2793849, -76.32441)","Governor's Harbour Airport (GHB), Queen's Hwy, Governor's Harbour, The Bahamas",1506
Ankara-Esenboga AirportESB),Turkey,"(38.963745, 35.243322)",Turkey,"(40.1244399, 32.9916726)","Balıkhisar Mh., Ankara Esenboga Airport (ESB), Özal Bulvarı, Akyurt/Ankara, Turkey",1507
Ankara-Esenboga AirportESB),Turkey,"(38.963745, 35.243322)",Turkey,"(40.1244399, 32.9916726)","Balıkhisar Mh., Ankara Esenboga Airport (ESB), Özal Bulvarı, Akyurt/Ankara, Turkey",1508
Perth Airport,Australia,"(-25.274398, 133.775136)",Australia,"(-31.9385476, 115.9672492)","Perth Airport (PER), Perth Airport WA 6105, Australia",1509
Anjouan-Ouani AirportAJN),Comoros,"(-11.6455, 43.3333)",Comoros,"(-12.1333322, 44.4296734)","Ouani Airport (AJN), Ouani, Comoros",1510
 coast,Belize,"(17.189877, -88.49765)",Belize,"(41.8873607, -87.61840649999999)","Coast, 345 E Upper Wacker Dr, Chicago, IL 60601, USA",1511
Kandrian,Papua New Guinea,"(-6.314992999999999, 143.95555)",Papua New Guinea,"(-6.2066294, 149.5339941)","Kandrian, Papua New Guinea",1512
Khartoum-Civil AirportKRT),Sudan,"(12.862807, 30.217636)",Sudan,"(15.5927666, 32.5522355)","Khartoum International Airport (KRT), Khartoum, Sudan",1513
 City-Tocumen International AirportPTY),Panama,"(8.537981, -80.782127)",Panama,"(9.0667013, -79.38737429999999)","Aeropuerto Internacional Tocumen Panama, Avenida Domingo Díaz, Panamá, Panama",1514
La Paragua ,Venezuela,"(6.42375, -66.58973)",Venezuela,"(6.835201899999999, -63.35056059999999)","La Paragua, Bolívar, Venezuela",1515
Hampton-Newport News/Williamsburg Airport,United States of America,"(37.09024, -95.712891)",United States,"(37.131667, -76.492778)","Newport News/Williamsburg International Airport, 900 Bland Blvd, Newport News, VA 23602, USA",1516
Rifle-Garfield County Airport,United States of America,"(37.09024, -95.712891)",United States,"(39.5260659, -107.7257521)","Rifle Garfield County Airport, 375 County Road 352, Rifle, CO 81650, USA",1517
Istanbul-Atatürk International AirportIST),Turkey,"(38.963745, 35.243322)",Turkey,"(40.9829888, 28.8104425)","Yeşilköy Mahallesi, Istanbul Ataturk Airport (IST), 34149 Bakırköy/İstanbul, Turkey",1518
near Mogadishu International AirportMGQ),Somalia,"(5.152149, 46.199616)",Somalia,"(2.0178354, 45.3037924)","Aden Adde International Airport (MGQ), Mogadishu, Somalia",1519
"Beverly Airport, MABVY)",United States of America,"(37.09024, -95.712891)",United States,"(42.5756179, -70.88959369999999)","North Beverly Plaza, 55 Dodge St, Beverly, MA 01915, USA",1520
"near Voznesenskoye, Nizhny Novgorod Region",Russia,"(61.52401, 105.318756)",Russia,"(54.8948642, 42.77179659999999)","Voznesenskoye, Nizhegorodskaya oblast', Russia, 607340",1521
Broomfield-Rocky Mountain Metropolitan Airport,United States of America,"(37.09024, -95.712891)",United States,"(39.9097178, -105.1118525)","Rocky Mountain Metropolitan Airport, 11755 Airport Way, Broomfield, CO 80021, USA",1522
"Sarybulak, North  Region",Kazakhstan,"(48.019573, 66.923684)",Kazakhstan,"(40.9, 73.81666700000001)","Sarybulak, Kyrgyzstan",1523
Québec City Jean Lesage International Airport,Canada,"(56.130366, -106.346771)",Canada,"(46.7907719, -71.38856899999999)","Québec City Jean Lesage International Airport (YQB), 505 Rue Principale, Ville de Québec, QC G2G 0J4, Canada",1524
Kinshasa-N'Djili AirportFIH)Congo,Democratic Republic),"(38.9040501, -77.04050860000001)","1100 Connecticut Ave NW #725, Washington, DC 20036, USA","(-4.386449199999999, 15.4453718)","N'Djili Airport (FIH), Kinshasa, Democratic Republic of the Congo",1525
"New York-John F. Kennedy International Airport, NYJFK)",United States of America,"(37.09024, -95.712891)",United States,"(40.6413111, -73.77813909999999)","John F. Kennedy International Airport (JFK), Queens, NY 11430, USA",1526
near Mintom,Cameroon,"(7.369721999999999, 12.354722)",Cameroon,"(28.0332462, -80.67160899999999)","Minton Rd, Florida, USA",1527
Berlin-Schönefeld AirportSXF),Germany,"(51.165691, 10.451526)",Germany,"(52.38544109999999, 13.5216148)","Berlin Schönefeld Airport (SXF), Flughafen Schönefeld, 12521 Berlin, Germany",1528
Praha-Ruzyne International AirportPRG),Czech Republic,"(49.81749199999999, 15.472962)",Czechia,"(50.10179100000001, 14.2631811)","Václav Havel Airport Prague (PRG), Aviatická, 161 08 Praha 6, Czechia",1529
 Chiclayo Capitan FAP Jose Abelardo Quiñones ,Peru,"(-9.189967, -75.015152)",Peru,"(-6.7772986, -79.8292699)","Bolognesi, Chiclayo, Peru",1530
"Little Peconic Bay, NY",United States of America,"(37.09024, -95.712891)",United States,"(40.9468818, -72.4968189)","Great Peconic Bay, New York, USA",1531
"Ottawa/Macdonald-Cartier International Airport, ONYOW)",Canada,"(56.130366, -106.346771)",Canada,"(45.319212, -75.66916520000001)","Ottawa International Airport (YOW), 1000 Airport Parkway Private, Ottawa, ON K1V 9B4, Canada",1532
ShabundaCongo,Democratic Republic),"(38.9040501, -77.04050860000001)","1100 Connecticut Ave NW #725, Washington, DC 20036, USA","(-2.694269, 27.3440192)","Shabunda, Democratic Republic of the Congo",1533
Brac Airport,Croatia,"(45.1, 15.2)",Croatia,"(43.2858425, 16.6789667)","Airport Brač (BWK), 21400, Supetar, Croatia",1534
Felipe Carrillo Puerto ,Mexico,"(23.634501, -102.552784)",Mexico,"(19.5803342, -88.0440957)","Felipe Carrillo Puerto, Quintana Roo, Mexico",1535
Bichevaya,Russia,"(61.52401, 105.318756)",Russia,"(47.771591, 135.6328739)","Bičevaja, Khabarovsk Krai, Russia, 682930",1536
Goulimime Airport,Morocco,"(31.791702, -7.092619999999999)",Morocco,"(29.0177423, -10.0490469)","Nouveau Aéroport de Guelmim, Guelmim 81000, Morocco",1537
Mukalla-Al-Rayyan International Airport,Yemen,"(15.552727, 48.516388)",Yemen,"(14.6662384, 49.3780083)","Riyan Airport, Yemen",1538
near Rovie,Albania,"(41.153332, 20.168331)",Albania,"(40.0490041, -75.3578854)","100 Matsonford Rd, Wayne, PA 19088, USA",1539
Miami-Dade Collier Airport,United States of America,"(37.09024, -95.712891)",United States,"(25.8637999, -80.8979128)","Dade-Collier Training and Transition Airport, Big Cypress National Preserve, 54575 Tamiami Trail E, Ochopee, FL 34141, USA",1540
Papelón,Venezuela,"(6.42375, -66.58973)",Venezuela,"(8.9420217, -69.4620671)","Papelon, Portuguesa, Venezuela",1541
"Vera Paz Farm, PA",Brazil,"(-14.235004, -51.92528)",Brazil,"(40.0525831, -75.06817269999999)","1869 Cottman Ave, Philadelphia, PA 19111, USA",1542
Caracas-Simon Bolivar AirportCCS),Venezuela,"(6.42375, -66.58973)",Venezuela,"(10.5977061, -67.005879)","Avenida La Armada, Maiquetía 1161, Vargas, Venezuela",1543
Providencia-El Embrujo AirportPVA),Colombia,"(4.570868, -74.297333)",Colombia,"(13.3588397, -81.3591579)","El Embrujo Airport (PVA), San Andrés, Providencia, San Andrés y Providencia, Colombia",1544
near Sakhanka,Russia,"(61.52401, 105.318756)",Russia,"(47.129461, 37.8577767)","Sakhanka, Donetsk Oblast, Ukraine",1545
Madrid-Barajas AirportMAD),Spain,"(40.46366700000001, -3.74922)",Spain,"(40.4839361, -3.5679515)","Madrid-Barajas Airport (MAD), Av de la Hispanidad, s/n, 28042 Madrid, Spain",1546
Praha-Ruzyne International AirportPRG),Czech Republic,"(49.81749199999999, 15.472962)",Czechia,"(50.10179100000001, 14.2631811)","Václav Havel Airport Prague (PRG), Aviatická, 161 08 Praha 6, Czechia",1547
 Mwanza Airport,Tanzania,"(-6.369028, 34.888822)",Tanzania,"(-2.441221, 32.923225)","Mwanza Airport (MWZ), Mwanza, Tanzania",1548
Entebbe AirportEBB),Uganda,"(1.373333, 32.290275)",Uganda,"(0.0435913, 32.4417943)","Entebbe International Airport, 5536 Kampala Road, Entebbe, Uganda",1549
Forte dei Marmi,Italy,"(41.87194, 12.56738)",Italy,"(43.95796170000001, 10.1672792)","55042 Forte dei Marmi, Province of Lucca, Italy",1550
 Varandey,Russia,"(61.52401, 105.318756)",Russia,"(68.824444, 58.068889)","Varandei, Nenets Autonomous Okrug, Russia, 166746",1551
Lima-J Chavez International AirportLIM),Peru,"(-9.189967, -75.015152)",Peru,"(-12.0240527, -77.112036)","Jorge Chavez International Airport (LIM), Vía Expresa Elmer Faucett s/n, Callao 07031, Peru",1552
14 km8.8 mls  WNW Campbeltown Machrihanish ,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(55.378051, -3.435973)",United Kingdom,1553
Milwaukee-General Mitchell International Airport,United States of America,"(37.09024, -95.712891)",United States,"(42.9475534, -87.89664599999999)","General Mitchell International Airport (MKE), 5300 S Howell Ave, Milwaukee, WI 53207, USA",1554
near  City Municipal Airport,Belize,"(17.189877, -88.49765)",Belize,"(44.03838409999999, -103.0606306)","Rapid City Regional Airport, 4550 Terminal Rd, Rapid City, SD 57703, USA",1555
"Teterboro Airport, NJTEB)",United States of America,"(37.09024, -95.712891)",United States,"(40.8550014, -74.0646486)","Teterboro Airport, 233 Industrial Ave, Teterboro, NJ 07608, USA",1556
 La Paragua,Venezuela,"(6.42375, -66.58973)",Venezuela,"(6.835201899999999, -63.35056059999999)","La Paragua, Bolívar, Venezuela",1557
Charallave-Óscar Machado Zuloaga Airport,Venezuela,"(6.42375, -66.58973)",Venezuela,"(10.288347, -66.8171314)","Charallave Airport, Charallave, Miranda, Venezuela",1558
Tehran-Mehrabad AirportTHR),Iran,"(32.427908, 53.688046)",Iran,"(35.68998819999999, 51.311241)","Mehrabad International Airport (THR), Tehran, Iran",1559
Haydom,Tanzania,"(-6.369028, 34.888822)",Tanzania,"(-4.193853499999999, 35.0256908)","Manyara, Mbulu Township, Moshi, Tanzania, Tanzania",1560
near Kozlovets,Bulgaria,"(42.733883, 25.48583)",Bulgaria,"(43.5101041, 25.3622726)","5290 Kozlovets, Bulgaria",1561
near Marsabit,Kenya,"(-0.023559, 37.906193)",Kenya,"(2.3354966, 37.9943453)","Marsabit, Kenya",1562
Dover AFB,United States of America,"(37.09024, -95.712891)",United States,"(39.12773, -75.4684352)","442 13th St, Dover, DE 19902, USA",1563
Leszno-Strzyzewice Airport,Poland,"(51.919438, 19.145136)",Poland,"(51.835, 16.521944)","Lotnisko Leszno-Strzyżewice, Szybowników 28, 64-100 Leszno, Poland",1564
Rio Bonito,Brazil,"(-14.235004, -51.92528)",Brazil,"(-22.7186089, -42.6279835)","Rio Bonito, RJ, Brazil",1565
Oak Glen,United States of America,"(37.09024, -95.712891)",United States,"(34.0494574, -116.9478045)","Oak Glen, CA 92399, USA",1566
 Payam Airport,Iran,"(32.427908, 53.688046)",Iran,"(35.7643443, 50.8392488)","Alborz Province, Mehrshahr, کیانمهر، Payam International Airport, Iran",1567
Tallinn-Ulemiste AirportTLL),Estonia,"(58.595272, 25.013607)",Estonia,"(59.41635609999999, 24.7996584)","Lennart Meri Tallinn Airport, Tartu maantee 101, 10112 Tallinn, Estonia",1568
Kinshasa-N'Djili AirportFIH)Congo,Democratic Republic),"(38.9040501, -77.04050860000001)","1100 Connecticut Ave NW #725, Washington, DC 20036, USA","(-4.386449199999999, 15.4453718)","N'Djili Airport (FIH), Kinshasa, Democratic Republic of the Congo",1569
Cuenca-Mariscal Lamar Airport,Ecuador,"(-1.831239, -78.18340599999999)",Ecuador,"(-2.889444, -78.984444)","Mariscal Lamar Airport (CUE), La Castellana, Cuenca, Ecuador",1570
Impfondo Airport,Congo,"(-4.038333, 21.758664)",Democratic Republic of the Congo,"(1.5921782, 18.0506039)","Impfondo (ION), Impfondo, Republic of the Congo",1571
Talil,Iraq,"(33.223191, 43.679291)",Iraq,"(28.546116, 77.303804)","E-184/C High Tension Road Abul Faizal Enclave 2, Shaheen Bagh, Block H, Jamia Nagar, Okhla, New Delhi, Delhi 110025, India",1572
"Philadelphia International Airport, PAPHL)",United States of America,"(37.09024, -95.712891)",United States,"(39.8743959, -75.2424229)","Philadelphia International Airport (PHL), 8000 Essington Ave, Philadelphia, PA 19153, USA",1573
Waha,Libya,"(26.3351, 17.228331)",Libya,"(37.3278395, -121.979908)","220 Blake Ave, Santa Clara, CA 95051, USA",1574
Brussel-Zaventem AirportBRU),Belgium,"(50.503887, 4.469936)",Belgium,"(50.900999, 4.4855744)","Brussels Airport (BRU), Leopoldlaan, 1930 Zaventem, Belgium",1575
Billings-Logan International Airport,United States of America,"(37.09024, -95.712891)",United States,"(45.8078759, -108.5417844)","Billings Logan International Airport, 1901 Terminal Cir, Billings, MT 59105, USA",1576
 Boguchany,Russia,"(61.52401, 105.318756)",Russia,"(58.366667, 97.44999999999999)","Boguchany, Krasnoyarsk Krai, Russia, 663431",1577
Moskva-Domodedovo AirportDME),Russia,"(61.52401, 105.318756)",Russia,"(55.41030689999999, 37.9024513)","Domodedovo Moscow Airport (DME), Moskovskaya oblast', Russia",1578
near Ulmeni,Romania,"(45.943161, 24.96676)",Romania,"(47.466018, 23.3023648)","Ulmeni 437355, Romania",1579
"Ada, MI",United States of America,"(37.09024, -95.712891)",United States,"(42.960727, -85.4954803)","Ada Township, MI, USA",1580
Greensboro/High Point-Piedmont Triad International Airport,United States of America,"(37.09024, -95.712891)",United States,"(36.1043671, -79.9351805)","Piedmont Triad International Airport (GSO), 1000 Ted Johnson Pkwy, Greensboro, NC 27409, USA",1581
Greensboro/High Point-Piedmont Triad International Airport,United States of America,"(37.09024, -95.712891)",United States,"(36.1043671, -79.9351805)","Piedmont Triad International Airport (GSO), 1000 Ted Johnson Pkwy, Greensboro, NC 27409, USA",1582
Quetta AirportUET),Pakistan,"(30.375321, 69.34511599999999)",Pakistan,"(30.2490734, 66.94881900000001)","Quetta International Airport (UET), 12 km south-west of the city, Airport Rd, Quetta, Pakistan",1583
Rumbek,South Sudan,"(6.876991899999999, 31.3069788)",South Sudan,"(6.807249400000001, 29.6788877)","Rumbek, South Sudan",1584
Harare AirportHRE),Zimbabwe,"(-19.015438, 29.154857)",Zimbabwe,"(-17.918784, 31.097279)","Box AP120,, Harare International Airport (HRE), Harare, Zimbabwe",1585
Wajir AirportWJR),Kenya,"(-0.023559, 37.906193)",Kenya,"(1.733306, 40.091751)","Wajir Airport (WJR), Wajir, Kenya",1586
Doro Airstrip,South Sudan,"(6.876991899999999, 31.3069788)",South Sudan,"(19.1648109, 72.85327149999999)","Gala No. 9, Navpada, Opp. Udipi Hotel, Aarey Road, Behind Meenakshi Hotel, Goregaon (East), Unnat Nagar, Jay Prakash Nagar, Goregaon East, Mumbai, Maharashtra 400063, India",1587
Coari Airport,Brazil,"(-14.235004, -51.92528)",Brazil,"(-4.88428, -65.3491463)","Aeroporto de Urucu, Coari - AM, 69460-000, Brazil",1588
Bucharest-Otopeni International AirportOTP),Romania,"(45.943161, 24.96676)",Romania,"(44.5707306, 26.0844123)","Henri Coandă International Airport (OTP), Calea Bucureştilor 224E, Otopeni 075150, Romania",1589
Lubbock Preston Smith International Airport,United States of America,"(37.09024, -95.712891)",United States,"(33.657266, -101.8264629)","Lubbock Preston Smith International Airport (LBB), 5401 N Martin L King Blvd, Lubbock, TX 79403, USA",1590
Santo Domingo-Las Américas International AirportSDQ),Dominican Republic,"(18.735693, -70.162651)",Dominican Republic,"(18.4307498, -69.67657559999999)","Aeropuerto Las Américas, Ruta 66 Salida Del Aeropuerto Las Americas, Santo Domingo, Dominican Republic",1591
Annobón Island,Equatorial Guinea,"(1.650801, 10.267895)",Equatorial Guinea,"(-1.4221087, 5.6195112)","Annobón, Equatorial Guinea",1592
Goma AirportGOM)Congo,Democratic Republic),"(38.9040501, -77.04050860000001)","1100 Connecticut Ave NW #725, Washington, DC 20036, USA","(-1.6683325, 29.2386163)","Goma Airport (GOM), Goma, Democratic Republic of the Congo",1593
Goma AirportGOM)Congo,Democratic Republic),"(38.9040501, -77.04050860000001)","1100 Connecticut Ave NW #725, Washington, DC 20036, USA","(-1.6683325, 29.2386163)","Goma Airport (GOM), Goma, Democratic Republic of the Congo",1594
Chisinau AirportKIV),Moldova,"(47.411631, 28.369885)",Moldova,"(46.93517, 28.935167)","Chișinău International Airport (KIV), Bd. Dacia nr. 80/3, Chișinău 2026, Moldova",1595
Hanoi,Vietnam,"(14.058324, 108.277199)",Vietnam,"(21.0277644, 105.8341598)","Hanoi, Hoàn Kiếm, Hanoi, Vietnam",1596
Nain,Canada,"(56.130366, -106.346771)",Canada,"(32.630986, 35.349399)","Nein, Israel",1597
 MwanzaHTMW),Tanzania,"(-6.369028, 34.888822)",Tanzania,"(-2.441221, 32.923225)","Mwanza Airport (MWZ), Mwanza, Tanzania",1598
Lawa Antino Airport,Suriname,"(3.919305, -56.027783)",Suriname,"(26.2422836, -81.7698939)","7955 Airport Pulling Rd N #202, Naples, FL 34109, USA",1599
Lawa Antino Airport,Suriname,"(3.919305, -56.027783)",Suriname,"(26.2422836, -81.7698939)","7955 Airport Pulling Rd N #202, Naples, FL 34109, USA",1600
Odense-Beldringe AirportODE),Denmark,"(56.26392, 9.501785)",Denmark,"(55.475834, 10.329445)","Odense Airport (ODE), Lufthavnvej 131, 5270 Odense N, Denmark",1601
London-Biggin Hill Airport,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(51.3314914, 0.032184)","London Biggin Hill Airport (BQH), Main Rd, Biggin Hill, Bromley TN16 3BP, UK",1602
Limoges-Bellegarde AirportLIG),France,"(46.227638, 2.213749)",France,"(45.8609331, 1.1787627)","Aéroport International de Limoges, 81 Avenue de l'Aéroport, 87100 Limoges, France",1603
Udaipur-Dabok Airport,India,"(20.593684, 78.96288)",India,"(24.6200127, 73.89040589999999)","Maharana Pratap Airport, NH 76, Dabok, Udaipur, Rajasthan 313023, India",1604
Dhaka-Zia International AirportDAC),Bangladesh,"(23.684994, 90.356331)",Bangladesh,"(23.846615, 90.4026234)","Hazrat Shahjalal International Airport (DAC), Airport Road, Sector 1, Kurmitola, Dhaka 1229, Bangladesh",1605
Dhaka-Zia International AirportDAC),Bangladesh,"(23.684994, 90.356331)",Bangladesh,"(23.846615, 90.4026234)","Hazrat Shahjalal International Airport (DAC), Airport Road, Sector 1, Kurmitola, Dhaka 1229, Bangladesh",1606
 Tumeremo,Venezuela,"(6.42375, -66.58973)",Venezuela,"(7.299622599999999, -61.50776450000001)","Tumeremo, Bolívar, Venezuela",1607
near Bushi Village,Nigeria,"(9.081999, 8.675277)",Nigeria,"(-5.35, 19.116667)","Bushi, Democratic Republic of the Congo",1608
