SubLocation,Country,latlon,place,sub_latlon,sub_place
Putao AirportPBU),Myanmar,"(21.916221, 95.955974)",Myanmar (Burma),"(27.329495, 97.426689)","Putao Airport (PBU), Puta-O MMR001014701, Myanmar (Burma)"
Ra'sal-Khaymah AirportRKT),United Arab Emirates,"(23.424076, 53.847818)",United Arab Emirates,"(25.6158559, 55.939385)",Ras Al Khaimah International Airport (RKT) - Ras al Khaimah - United Arab Emirates
ca 10 km NW of Mérida-A Carnevalli AirportMRD),Venezuela,"(6.42375, -66.58973)",Venezuela,,
Caico Seco,Venezuela,"(6.42375, -66.58973)",Venezuela,"(9.049999999999999, -64.5)","Caico Seco, Anzoátegui, Venezuela"
"Washington-Ronald Reagan National Airport, DCDCA)",United States of America,"(37.09024, -95.712891)",United States,"(38.851242, -77.04023149999999)","Ronald Reagan Washington National Airport (DCA), Arlington, VA 22202, USA"
Kandahar AirportKDH),Afghanistan,"(33.93911, 67.709953)",Afghanistan,"(31.506944, 65.8475)","Kandahar International Airport (KDH) د کندهار بین المللی هوایی میدان (KDH), Airport Road, Afghanistan"
"Washington-Ronald Reagan National Airport, DCDCA)",United States of America,"(37.09024, -95.712891)",United States,"(38.851242, -77.04023149999999)","Ronald Reagan Washington National Airport (DCA), Arlington, VA 22202, USA"
Yerevan-Zvartnots AirportEVN),Armenia,"(40.069099, 45.038189)",Armenia,"(40.1491782, 44.3988571)","Zvartnots International Airport (EVN), Yerevan, Armenia"
Los Roques AirportLRV),Venezuela,"(6.42375, -66.58973)",Venezuela,"(11.944662, -66.6729761)","Los Roques Airport, Gran Roque, Venezuela"
Caracas-Simon Bolivar AirportCCS),Venezuela,"(6.42375, -66.58973)",Venezuela,"(10.5977061, -67.005879)","Avenida La Armada, Maiquetía 1161, Vargas, Venezuela"
Caracas-Simon Bolivar AirportCCS),Venezuela,"(6.42375, -66.58973)",Venezuela,"(10.5977061, -67.005879)","Avenida La Armada, Maiquetía 1161, Vargas, Venezuela"
Christchurch International AirportCHC),New Zealand,"(-40.900557, 174.885971)",New Zealand,"(-43.4863981, 172.5368705)","Christchurch International Airport (CHC) 30 Durey Rd, Christchurch Airport, Christchurch 8053, New Zealand"
"Darwin Airport, NTDRW)",Australia,"(-25.274398, 133.775136)",Australia,"(-12.4112158, 130.877545)","Darwin International Airport (DRW), 1 Henry Wrigley Dr, Darwin International Airport NT 0820, Australia"
El Seibo,Dominican Republic,"(18.735693, -70.162651)",Dominican Republic,"(18.7658496, -69.040668)","El Seibo Province, 24000, Dominican Republic"
El Seibo,Dominican Republic,"(18.735693, -70.162651)",Dominican Republic,"(18.7658496, -69.040668)","El Seibo Province, 24000, Dominican Republic"
"Ankeny Regional Airport, IAIKV)",United States of America,"(37.09024, -95.712891)",United States,,
Edinburgh-Turnhouse AirportEDI),United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(55.9488005, -3.3627729)","Edinburgh Airport (EDI), Edinburgh Airport, Ingliston, Edinburgh EH12 9DN, UK"
Lome AirportLFW),Togo,"(8.619543, 0.824782)",Togo,"(6.170546300000001, 1.2530654)","Lomé-Tokoin Airport (LFW), Lomé, Togo"
Lome AirportLFW),Togo,"(8.619543, 0.824782)",Togo,"(6.170546300000001, 1.2530654)","Lomé-Tokoin Airport (LFW), Lomé, Togo"
Moskva-Vnukovo AirportVKO),Russia,"(61.52401, 105.318756)",Russia,"(55.59964799999999, 37.27123419999999)","Vnukovo International Airport, Vnukovo, Moscow Oblast, Russia"
20 km12.5 mls) N of Al-Amarah,Iraq,"(33.223191, 43.679291)",Iraq,,
"Berbegamau Airstrip, QC",Canada,"(56.130366, -106.346771)",Canada,,
"8 km5 mls) NW of Alliance Airport, NEAIA)",United States of America,"(37.09024, -95.712891)",United States,,
off Suba-Basbas,Philippines,"(12.879721, 121.774017)",Philippines,,
"Minneapolis-St. Paul International Airport, MNMSP)",United States of America,"(37.09024, -95.712891)",United States,"(44.8847554, -93.2222846)","Minneapolis−Saint Paul International Airport (MSP), Minnesota, USA"
"1,8 km1.1 mls) SE of North Caicos AirportNCA)",Turks and Caicos Islands,"(21.694025, -71.797928)","TKCA 1ZZ, Turks and Caicos Islands",,
"24 km15 mls) NNW of Belgrade , MT",United States of America,"(37.09024, -95.712891)",United States,,
Narsarsuaq AirportUAK),Greenland,"(71.706936, -42.604303)",Greenland,"(61.1614002, -45.417806)","Narsarsuaq Airport, 3923, Narsarsuaq 3923, Greenland"
"Miami International Airport, FLMIA)",United States of America,"(37.09024, -95.712891)",United States,"(25.795865, -80.2870457)","Miami International Airport (MIA), 2100 NW 42nd Ave, Miami, FL 33126, USA"
Yahurabila,Nicaragua,"(12.865416, -85.207229)",Nicaragua,"(15.4096, -83.800163)","Yahurabila, Honduras"
"near Cape Girardeau Airport, MOCGI)",United States of America,"(37.09024, -95.712891)",United States,,
"Gryttjom airfield, Uppsala county",Sweden,"(60.12816100000001, 18.643501)",Sweden,"(59.6497622, 17.9237807)","Stockholm Arlanda Airport (ARN), 190 45 Stockholm-Arlanda, Sweden"
Halaveli Resort lagoon,Maldives,"(1.9772276, 73.536101)",Maldives,"(4.03884, 72.919277)","4.038840, 72.919020, Halaveli Island, Maldives"
"Porto Seguro-Terravista Golf Club Airport, BA",Brazil,"(-14.235004, -51.92528)",Brazil,"(-16.5489956, -39.0889872)","Estrada Municipal de Trancoso, Km 18 - Trancoso, Porto Seguro - BA, 45810-000, Brazil"
near Madiun-Iswahyudi Airport,Indonesia,"(-0.789275, 113.921327)",Indonesia,"(-7.6210542, 111.4356227)","Pangkalan Udara Iswahyudi, Maospati, Magetan, Jawa Timur, 63392, Indonesia"
c 160km NNW off São Pedro and São Paulo Archipelago,Atlantic Ocean,"(-14.5994134, -28.6731465)",Atlantic Ocean,,
Quevedo Airport,Ecuador,"(-1.831239, -78.18340599999999)",Ecuador,,
Quevedo Airport,Ecuador,"(-1.831239, -78.18340599999999)",Ecuador,,
Quevedo Airport,Ecuador,"(-1.831239, -78.18340599999999)",Ecuador,,
Quevedo Airport,Ecuador,"(-1.831239, -78.18340599999999)",Ecuador,,
Riyadh-King Khalid International AirportRUH),Saudi Arabia,"(23.885942, 45.079162)",Saudi Arabia,"(24.9594395, 46.7026197)","King Khalid International Airport (RUH), Airport Road, King Khalid International Airport, Riyadh Saudi Arabia"
near Mashhad AirportMHD),Iran,"(32.427908, 53.688046)",Iran,"(36.226635, 59.6408463)","Mashhad, Razavi Khorasan Province, Iran"
near Dornum,Germany,"(51.165691, 10.451526)",Germany,"(53.64590279999999, 7.430451100000001)","Dornum, Germany"
"Baltimore/Washington International Thurgood Marshall Airport, MDBWI)",United States of America,"(37.09024, -95.712891)",United States,"(39.1774042, -76.6683922)","Baltimore/Washington International Thurgood Marshall Airport (BWI), Baltimore, MD 21240, USA"
"OiNemyugyuntsy), Yakutia",Russia,"(61.52401, 105.318756)",Russia,,
"Massamba, Bandundu ProvinceCongo",Democratic Republic),"(38.9040501, -77.04050860000001)","1100 Connecticut Ave NW #725, Washington, DC 20036, USA",,
near Seongmu Air Base,South Korea,"(35.907757, 127.766922)",South Korea,,
"2,7 km1.7 mls) N of Stockton, UT",United States of America,"(37.09024, -95.712891)",United States,,
"2,7 km1.7 mls) N of Stockton, UT",United States of America,"(37.09024, -95.712891)",United States,,
"New York-John F. Kennedy International Airport, NYJFK)",United States of America,"(37.09024, -95.712891)",United States,"(40.6413111, -73.77813909999999)","John F. Kennedy International Airport (JFK), Queens, NY 11430, USA"
"New York-John F. Kennedy International Airport, NYJFK)",United States of America,"(37.09024, -95.712891)",United States,"(40.6413111, -73.77813909999999)","John F. Kennedy International Airport (JFK), Queens, NY 11430, USA"
Guadalajara-Don Miguel Hidalgo y Costilla International AirportGDL),Mexico,"(23.634501, -102.552784)",Mexico,"(20.5259561, -103.307625)","Miguel Hidalgo y Costilla International Airport (GDL), Carr. Guadalajara Chapala Km 17.5, 45659 Jal., Mexico"
Lahore AirportLHE),Pakistan,"(30.375321, 69.34511599999999)",Pakistan,"(31.5193562, 74.4052586)","Allama Iqbal International Airport, Airport Road, Lahore 54000, Pakistan"
Montego Bay-Sangster International AirportMBJ),Jamaica,"(18.109581, -77.297508)",Jamaica,"(18.5022634, -77.91443439999999)","Sangster International Airport, Montego Bay, Jamaica"
Canaima AirportCAJ),Venezuela,"(6.42375, -66.58973)",Venezuela,"(6.2411163, -62.85589459999999)","Canaima Airport (CAJ), Parque Nacional Canaima, Canaima, Bolívar, Venezuela"
Thulakhôm District,Laos,"(19.85627, 102.495496)",Laos,,
"6,5 km4.1 mls) NW of WamenaWMX)",Indonesia,"(-0.789275, 113.921327)",Indonesia,,
Bandung-Husein Sastranegara International AirportBDO),Indonesia,"(-0.789275, 113.921327)",Indonesia,"(-6.9039576, 107.5801608)","Bandara Husein Sastranegara, Jl. Pajajaran No.156, Husen Sastranegara, Cicendo, Kota Bandung, Jawa Barat 40174, Indonesia"
Bandung-Husein Sastranegara International AirportBDO),Indonesia,"(-0.789275, 113.921327)",Indonesia,"(-6.9039576, 107.5801608)","Bandara Husein Sastranegara, Jl. Pajajaran No.156, Husen Sastranegara, Cicendo, Kota Bandung, Jawa Barat 40174, Indonesia"
Gdynia-Babie Doly,Poland,"(51.919438, 19.145136)",Poland,"(54.5761844, 18.5417868)","Babie Doły, Gdynia, Poland"
Dolinsk-Sokol Air Base,Russia,"(61.52401, 105.318756)",Russia,,
Tokyo-Narita AirportNRT),Japan,"(36.204824, 138.252924)",Japan,"(35.7719867, 140.3928501)","Narita International Airport (NRT), 1-1 Furugome, Narita, Chiba Prefecture 282-0004, Japan"
"Melbourne-Tullamarine Airport, VICMEL)",Australia,"(-25.274398, 133.775136)",Australia,"(-37.6690123, 144.8410273)","Melbourne Airport (MEL), Departure Dr, Melbourne Airport VIC 3045, Australia"
near ,Qatar,"(25.354826, 51.183884)",Qatar,"(45.04211129999999, -93.3513578)","4803 Welcome Ave N, Minneapolis, MN 55429, USA"
Mitú-Fabio Alberto León Bentley AirportMVP),Colombia,"(4.570868, -74.297333)",Colombia,,
Arlit AirportRLT),Niger,"(17.607789, 8.081666)",Niger,,
Arlit AirportRLT),Niger,"(17.607789, 8.081666)",Niger,,
Nadi International AirportNAN),Fiji,"(-17.713371, 178.065032)",Fiji,"(-17.7534652, 177.4507196)","Nadi International Airport, Nadi, Fiji"
"Barangay Laput, Mexico, Pampanga",Philippines,"(12.879721, 121.774017)",Philippines,"(15.0928524, 120.7124251)","Mexico, Pampanga, Philippines"
20 km12.5 mls) from  Saransk,Russia,"(61.52401, 105.318756)",Russia,,
Kangel Danda Airfield,Nepal,"(28.394857, 84.12400799999999)",Nepal,"(27.4105399, 86.64678169999999)","Kangel Danda Airport, Lamidanda 56000, Nepal"
-Chek Lap Kok International AirportHKG),Hong Kong,"(22.396428, 114.109497)",Hong Kong,"(22.308047, 113.9184808)","Hong Kong International Airport (HKG), 1 Sky Plaza Rd, Hong Kong"
Manokwari-Rendani AirportMKW),Indonesia,"(-0.789275, 113.921327)",Indonesia,"(-0.8922719, 134.0491648)","Rendani airport, Sowi, Manokwari Sel., Kabupaten Manokwari, Papua Bar. 98315, Indonesia"
Manokwari-Rendani AirportMKW),Indonesia,"(-0.789275, 113.921327)",Indonesia,"(-0.8922719, 134.0491648)","Rendani airport, Sowi, Manokwari Sel., Kabupaten Manokwari, Papua Bar. 98315, Indonesia"
4 km2.5 mls) SSW of Quito-Mariscal Sucre AirportUIO),Ecuador,"(-1.831239, -78.18340599999999)",Ecuador,,
"Melville Island, NU",Canada,"(56.130366, -106.346771)",Canada,"(75.5225103, -107.6648762)","Melville Island, Baffin, Unorganized, NU, Canada"
"8 km5 mls) NE of Morganton, Fannin County, GA",United States of America,"(37.09024, -95.712891)",United States,,
Huatulco-Bahías de Huatulco International AirportHUX),Mexico,"(23.634501, -102.552784)",Mexico,"(15.7769394, -96.2594106)","Huatulco International Airport HUX, Carretera Costera Pinotera Salina Cruz Km. 237, El Zapote, 70980 Santa María Huatulco, Oax., Mexico"
Ivanovo-Severny Air Base,Russia,"(61.52401, 105.318756)",Russia,"(57.0440918, 40.984776)","Severnyy, ul. Polka Normandiya-Neman, Ivanovo, Ivanovskaya oblast', Russia, 153043"
Wajir AirportWJR),Kenya,"(-0.023559, 37.906193)",Kenya,"(1.733306, 40.091751)","Wajir Airport (WJR), Wajir, Kenya"
"Moncton/Greater Moncton International Airport, NBYQM)",Canada,"(56.130366, -106.346771)",Canada,"(46.1161109, -64.6882693)","Greater Moncton Roméo LeBlanc International Airport (YQM), 777 Aviation Ave, Dieppe, NB E1A 7Z5, Canada"
"Darwin Airport, NTDRW)",Australia,"(-25.274398, 133.775136)",Australia,"(-12.4112158, 130.877545)","Darwin International Airport (DRW), 1 Henry Wrigley Dr, Darwin International Airport NT 0820, Australia"
"Darwin Airport, NTDRW)",Australia,"(-25.274398, 133.775136)",Australia,"(-12.4112158, 130.877545)","Darwin International Airport (DRW), 1 Henry Wrigley Dr, Darwin International Airport NT 0820, Australia"
"Jeffersonville-Clark Regional Airport, INJVY)",United States of America,"(37.09024, -95.712891)",United States,"(38.365555, -85.73833499999999)","Clark Regional Airport, 6003 Propeller Ln, Sellersburg, IN 47172, USA"
"Kodiak Airport, AKADQ)",United States of America,"(37.09024, -95.712891)",United States,"(57.7543782, -152.51473)","Kodiak Airport, 1427 Airport Way, Kodiak, AK 99615, USA"
"ca 0,3 km W of Tallinn-Ülemiste AirportTLL)",Estonia,"(58.595272, 25.013607)",Estonia,,
Benin City AirportBNI),Nigeria,"(9.081999, 8.675277)",Nigeria,"(6.3178195, 5.599806)","Benin Airport (BNI), Airport Rd, Ogogugbo, Benin City, Nigeria"
Kielce-Maslów Airport,Poland,"(51.919438, 19.145136)",Poland,"(50.89828019999999, 20.7324583)","Kielce-Masłów Airport, Jana Pawła II 9, Masłów Pierwszy, Poland"
Kisangani-Bangoka International AirportFKI)Congo,Democratic Republic),"(38.9040501, -77.04050860000001)","1100 Connecticut Ave NW #725, Washington, DC 20036, USA","(0.486974, 25.3326503)","Kisangani Bangoka International Airport (FKI), Democratic Republic of the Congo"
ca 25 km from Bagram Air BaseBPM),Afghanistan,"(33.93911, 67.709953)",Afghanistan,,
"Pukatawagan Airport, MBXPK)",Canada,"(56.130366, -106.346771)",Canada,,
1 km0.6 mls) S of Petrozavodsk AirportPES),Russia,"(61.52401, 105.318756)",Russia,,
"Toronto-Buttonville Airport, ONYKZ)",Canada,"(56.130366, -106.346771)",Canada,"(43.8618446, -79.3695644)","Toronto Buttonville Municipal Airport, 2833 16th Ave, Markham, ON L3R 0P8, Canada"
Vladikavkaz AirportOGZ),Russia,"(61.52401, 105.318756)",Russia,"(43.20186, 44.6046639)","Beslan Lufthavn, Beslan, Respublika Severnaya Osetiya-Alaniya, Russia, 363025"
"near Gray, TN",United States of America,"(37.09024, -95.712891)",United States,"(36.4198258, -82.4765352)","Gray, TN 37615, USA"
"Cold Bay Airport, AKCDB)",United States of America,"(37.09024, -95.712891)",United States,,
Helgoland AirportHGL),Germany,"(51.165691, 10.451526)",Germany,,
Manta AirportMEC),Ecuador,"(-1.831239, -78.18340599999999)",Ecuador,"(-0.9529062, -80.68415499999999)","Eloy Alfaro International Airport (MEC), Manta, Ecuador"
"2,3 km1.4 mls) S off  Libreville AirportLBV)",Gabon,"(-0.803689, 11.609444)",Gabon,,
"Nome Airport, AKOME)",United States of America,"(37.09024, -95.712891)",United States,,
"near Beregovoy, Amur Region",Russia,"(61.52401, 105.318756)",Russia,"(53.7400124, 127.2885688)","Beregovoy per., Zeya, Amurskaya oblast', Russia, 676243"
"128 km80 mls) NW of Bettles Field, AK",United States of America,"(37.09024, -95.712891)",United States,,
"Sedona Airport, AZSDX)",United States of America,"(37.09024, -95.712891)",United States,"(34.8499609, -111.7890536)","Sedona Airport, Coconino National Forest, 235 Air Terminal Dr, Sedona, AZ 86336, USA"
"Port Hueneme-Point Mugu NAS, CANTD)",United States of America,"(37.09024, -95.712891)",United States,"(34.132268, -119.1008124)","10A Naval Air Rd, Port Hueneme, CA 93041, USA"
"Barra do Vento Airport, RR",Brazil,"(-14.235004, -51.92528)",Brazil,,
"Barra do Vento Airport, RR",Brazil,"(-14.235004, -51.92528)",Brazil,,
"Sofiyivka Ipatovsk district, Stavropol region",Russia,"(61.52401, 105.318756)",Russia,,
"11 km6.9 mls) SW of Atqasuk, AK",United States of America,"(37.09024, -95.712891)",United States,,
ca 1 km N of Jakarta-Halim Perdana Kusuma AirportHLP),Indonesia,"(-0.789275, 113.921327)",Indonesia,,
Pweto AirportPWO)Congo,Democratic Republic),"(38.9040501, -77.04050860000001)","1100 Connecticut Ave NW #725, Washington, DC 20036, USA","(-8.468578599999999, 28.8897165)","Aéroport de Pweto (PWO), Democratic Republic of the Congo"
Pweto AirportPWO)Congo,Democratic Republic),"(38.9040501, -77.04050860000001)","1100 Connecticut Ave NW #725, Washington, DC 20036, USA","(-8.468578599999999, 28.8897165)","Aéroport de Pweto (PWO), Democratic Republic of the Congo"
Tokyo-Narita AirportNRT),Japan,"(36.204824, 138.252924)",Japan,"(35.7719867, 140.3928501)","Narita International Airport (NRT), 1-1 Furugome, Narita, Chiba Prefecture 282-0004, Japan"
"Jersey-States Airport, Channel IslandsJER)",United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(49.2074637, -2.1952207)","Jersey Airport, St Peter JE1 1BY, Jersey"
"Sandy Lake Airport, ONZSJ)",Canada,"(56.130366, -106.346771)",Canada,"(53.0641646, -93.3444368)","Sandy Lake Airport (ZSJ), Sandy Lake, ON P0V, Canada"
"Atlanta-DeKalb Peachtree Airport, GAPDK)",United States of America,"(37.09024, -95.712891)",United States,"(33.8762128, -84.3020439)","DeKalb-Peachtree Airport (PDK), 2000 Airport Rd, Atlanta, GA 30341, USA"
"10 km6.3 mls) SW of Serov, Sverdlovsk region",Russia,"(61.52401, 105.318756)",Russia,,
Antigua-Coolidge International AirportANU),Antigua and Barbuda,"(17.060816, -61.796428)",Antigua and Barbuda,"(17.1417911, -61.790564)","V C Bird International Airport (ANU), Pavilion Dr, Osbourn, Antigua and Barbuda"
Borodyanka,Ukraine,"(48.379433, 31.16558)",Ukraine,"(50.64450309999999, 29.9146299)","Borodyanka, Kyivs'ka oblast, Ukraine"
Praha-Ruzyne International AirportPRG),Czech Republic,"(49.81749199999999, 15.472962)",Czechia,"(50.10179100000001, 14.2631811)","Václav Havel Airport Prague (PRG), Aviatická, 161 08 Praha 6, Czechia"
"Aspen-Pitkin County Airport, COASE)",United States of America,"(37.09024, -95.712891)",United States,"(39.2207537, -106.8666179)","Aspen Pitkin County Airport-ASE, 233 W Airport Rd, Aspen, CO 81611, USA"
"1,5 km0.9 mls) S off  Isla de Flores, Rio de la Plata",Uruguay,"(-32.522779, -55.765835)",Uruguay,,
"Minden-Tahoe Airport, NVMEV)",United States of America,"(37.09024, -95.712891)",United States,"(39.0005511, -119.7523069)","Minden-Tahoe Airport, 1146 Airport Rd, Minden, NV 89423, USA"
"ca 35km W of Modena, Iron County, UT",United States of America,"(37.09024, -95.712891)",United States,,
Accra-Kotoka AirportACC),Ghana,"(7.946527, -1.023194)",Ghana,"(5.606095499999999, -0.1681235)","Kotoka International Airport, Airport Rd, Accra, Ghana"
"Chicago-O'Hare International Airport, ILORD)",United States of America,"(37.09024, -95.712891)",United States,,
"9,3 km5.8 mls) N of Lagos-Murtala Muhammed International AirportLOS)",Nigeria,"(9.081999, 8.675277)",Nigeria,,
"Chicago-O'Hare International Airport, ILORD)",United States of America,"(37.09024, -95.712891)",United States,,
Lézignan-Corbières Airport,France,"(46.227638, 2.213749)",France,"(43.1742607, 2.7405692)","Aérodrome de Lézignan Corbières, Route de Ferrals, 11200 Lézignan Corbières, France"
Lézignan-Corbières Airport,France,"(46.227638, 2.213749)",France,"(43.1742607, 2.7405692)","Aérodrome de Lézignan Corbières, Route de Ferrals, 11200 Lézignan Corbières, France"
"near Tampa-Mac Dill AFB, FLMCF)",United States of America,"(37.09024, -95.712891)",United States,"(27.8489423, -82.4971961)","9211 Marina Bay Dr, Tampa, FL 33621, USA"
