SubLocation,Country,latlon,place,sub_latlon,sub_place
unknown,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA","(41.6262707, -79.6735841)","Unknown, 101 W Spring St, Titusville, PA 16354, USA"
near Igenhausen,Germany,"(51.165691, 10.451526)",Germany,"(48.4706726, 11.0465489)","Igenhausen, 86568 Hollenbach, Germany"
"Macon-Lewis B. Wilson Airport, GAMCN)",United States of America,"(37.09024, -95.712891)",United States,"(32.701987, -83.651882)","Middle Georgia Regional Airport, 1000 Terminal Dr, Macon, GA 31297, USA"
"Macon-Lewis B. Wilson Airport, GAMCN)",United States of America,"(37.09024, -95.712891)",United States,"(32.701987, -83.651882)","Middle Georgia Regional Airport, 1000 Terminal Dr, Macon, GA 31297, USA"
Bandar Lampung-Branti AirportTKG),Indonesia,"(-0.789275, 113.921327)",Indonesia,"(-5.2425881, 105.1761522)","Bandar Udara Radin Inten II, Jalan Alamsyah Ratu Prawira Negara KM. 28, Branti Raya, Natar, Brantiraya, Natar, Kabupaten Lampung Selatan, Lampung 35362, Indonesia"
"Greenwood, IL",United States of America,"(37.09024, -95.712891)",United States,"(42.3925202, -88.38925859999999)","Greenwood, IL, USA"
at an unknown location,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",,
San'a International AirportSAH),Yemen,"(15.552727, 48.516388)",Yemen,"(15.479167, 44.219722)","El Rahaba Airport (SAH), Airport Road, Sana'a, Yemen"
"9 km5.6 mls) SW of Phoenix-Luke AFB, AZLUF)",United States of America,"(37.09024, -95.712891)",United States,,
80 km50 mls) E off  Nortkapp,Norway,"(60.47202399999999, 8.468945999999999)",Norway,,
Minsk International 1 AirportMHP),Belarus,"(53.709807, 27.953389)",Belarus,"(53.8711654, 27.5352733)","Airport Minsk-1, Vulitsa Chkalava 38/1, Minsk 220039, Belarus"
"Selawik, AK",United States of America,"(37.09024, -95.712891)",United States,"(66.6038889, -160.0069444)","Selawik, AK, USA"
at an unknown location,Panama,"(8.537981, -80.782127)",Panama,,
"Lawton Municipal Airport, OKLAW)",United States of America,"(37.09024, -95.712891)",United States,,
"Lawton Municipal Airport, OKLAW)",United States of America,"(37.09024, -95.712891)",United States,,
"Lawton Municipal Airport, OKLAW)",United States of America,"(37.09024, -95.712891)",United States,,
"Newark International Airport, NJEWR)",United States of America,"(37.09024, -95.712891)",United States,"(40.6895314, -74.1744624)","Newark Liberty International Airport (EWR), 3 Brewster Rd, Newark, NJ 07114, USA"
Benghazi-Benina International AirportBEN),Libya,"(26.3351, 17.228331)",Libya,"(32.0864576, 20.2659758)","Benina International Airport (BEN), P.O Box 1, Benghazi, Libya"
Poti Airport,Georgia,"(32.1656221, -82.9000751)","Georgia, USA","(42.1628149, 41.7010258)","Poti Airport, Poti, Georgia"
"0,5 km0.3 mls) from  Quelimane AirportUEL)",Mozambique,"(-18.665695, 35.529562)",Mozambique,,
Chikala Hills,Malawi,"(-13.254308, 34.301525)",Malawi,"(-15.1305556, 35.4480556)","Chikala Hills, Malawi"
Arequipa AirportAQP),Peru,"(-9.189967, -75.015152)",Peru,"(-16.344812, -71.56799)","Rodriguez Ballon Airport, Aviación, Cerro Colorado, Peru"
Barquisimeto AirportBRM),Venezuela,"(6.42375, -66.58973)",Venezuela,"(10.046132, -69.3598172)","Aeropuerto Internacional Jacinto Lara, Avenida La Landaeta, Barquisimeto 3001, Lara, Venezuela"
Nakashibetsu AirportSHB),Japan,"(36.204824, 138.252924)",Japan,"(43.5732673, 144.9567475)","Nakashibetsu Airport, １６-９ Kitanaka, Nakashibetsu, Shibetsu District, Hokkaido Prefecture 086-1145, Japan"
near Shashgow Ghazni,Afghanistan,"(33.93911, 67.709953)",Afghanistan,,
Varna AirportVAR),Bulgaria,"(42.733883, 25.48583)",Bulgaria,"(43.2368101, 27.8256997)","9154 Aksakovo, Bulgaria"
Fuzhou AirportFOC),China,"(35.86166, 104.195397)",China,"(25.9306382, 119.6701958)","Fuzhou Changle International Airport (FOC), Changle Shi, Fuzhou Shi, Fujian Province, China"
Koko,Benin,"(9.30769, 2.315834)",Benin,"(42.4413146, -76.4850344)","321 College Ave, Ithaca, NY 14850, USA"
30 km18.8 mls) N of Sebha,Libya,"(26.3351, 17.228331)",Libya,,
at an unknown location,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",,
"Manaus-Eduardo Gomes International Airport, AMMAO)",Brazil,"(-14.235004, -51.92528)",Brazil,"(-3.0358474, -60.04632489999999)","Eduardo Gomes International Airport (MAO) - Av. Santos Dumont, 1350 - Tarumã, Manaus - AM, 69041-000, Brazil"
near Salento,Colombia,"(4.570868, -74.297333)",Colombia,"(4.637376, -75.570777)","Salento, Quindio, Colombia"
-Dr. Albert Plesman AirportCUR),Curaçao,"(12.16957, -68.99002)",Curaçao,,
"Waterville-Robert Lafleur Airport, MEWVL)",United States of America,"(37.09024, -95.712891)",United States,"(44.533333, -69.675552)","Robert LaFleur Airport, Waterville, ME 04901, USA"
Providencia Island,Colombia,"(4.570868, -74.297333)",Colombia,"(13.3387613, -81.3729372)","Isla de Providencia, Providencia, San Andrés and Providencia, Colombia"
Lazurnoye,Ukraine,"(48.379433, 31.16558)",Ukraine,"(44.6320317, 34.3869152)",Lazurne
Krasnoselkup AirportKKQ),Russia,"(61.52401, 105.318756)",Russia,,
Beirut International AirportBEY),Lebanon,"(33.854721, 35.862285)",Lebanon,"(33.8193756, 35.4912043)","Beirut-Rafic Hariri International Airport, Beirut, Lebanon"
Tau AirportTAV),American Samoa,"(-14.3016396, -170.6961815)",American Samoa,"(-14.229167, -169.511108)","Tau (TAV), American Samoa 96799"
Tau AirportTAV),American Samoa,"(-14.3016396, -170.6961815)",American Samoa,"(-14.229167, -169.511108)","Tau (TAV), American Samoa 96799"
Mokhotlong AirportMKH),Lesotho,"(-29.609988, 28.233608)",Lesotho,"(-29.2825628, 29.0718112)","Mokhotlong Airport, Mokhotlong, Lesotho"
near Sigonella Naval Air FieldNSY),Italy,"(41.87194, 12.56738)",Italy,,
off Zadar,Croatia,"(45.1, 15.2)",Croatia,"(44.1149586, 15.2347868)","112. brigade, 23000, Zadar, Croatia"
"Recife, PE",Brazil,"(-14.235004, -51.92528)",Brazil,"(-8.0475622, -34.8769643)","Recife - State of Pernambuco, Brazil"
Kustanai Region,Kazakhstan,"(48.019573, 66.923684)",Kazakhstan,"(51.5077096, 64.04790729999999)","Kostanay, Kazakhstan"
Lahore AirportLHE),Pakistan,"(30.375321, 69.34511599999999)",Pakistan,"(31.5193562, 74.4052586)","Allama Iqbal International Airport, Airport Road, Lahore 54000, Pakistan"
Antococha Mts,Peru,"(-9.189967, -75.015152)",Peru,,
Chulman AirportCNN),Russia,"(61.52401, 105.318756)",Russia,"(56.9041484, 124.9038233)","Neryungri Airport, г.Нерюнгри, пос. Чульман-2, Sakha (Yakutiya) Republits, Russia, 678980"
off Playa Baracoa Airport,Cuba,"(21.521757, -77.781167)",Cuba,"(23.0323314, -82.5818448)","Playa Baracoa Airport, Cuba"
"4 km2.5 mls) W of Rio das Ostras, RJ",Brazil,"(-14.235004, -51.92528)",Brazil,,
Baghdad-Saddam International AirportSDA),Iraq,"(33.223191, 43.679291)",Iraq,"(33.267015, 44.2311592)","Baghdad International Airport, Airport St, Baghdad, Iraq"
Fuzhou AirportFOC),China,"(35.86166, 104.195397)",China,"(25.9306382, 119.6701958)","Fuzhou Changle International Airport (FOC), Changle Shi, Fuzhou Shi, Fujian Province, China"
Ajaccio,France,"(46.227638, 2.213749)",France,"(41.919229, 8.738635)","Ajaccio, France"
"Toronto-Pearson International Airport, ONYYZ)",Canada,"(56.130366, -106.346771)",Canada,,
San'a International AirportSAH),Yemen,"(15.552727, 48.516388)",Yemen,"(15.479167, 44.219722)","El Rahaba Airport (SAH), Airport Road, Sana'a, Yemen"
"San Diego International Airport, CASAN)",United States of America,"(37.09024, -95.712891)",United States,"(32.7338006, -117.1933038)","San Diego International Airport (SAN), 3225 N Harbor Dr, San Diego, CA 92101, USA"
"Detroit-Metropolitan Wayne County Airport, MIDTW)",United States of America,"(37.09024, -95.712891)",United States,"(42.2161722, -83.3553842)","Detroit Metropolitan Wayne County Airport (DTW), Detroit, MI 48242, USA"
Bournemouth International AirportBOH),United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(50.7778287, -1.8324369)","Bournemouth Airport, Parley Ln, Christchurch BH23 6SE, UK"
Jakarta-Kemayoran AirportJKT),Indonesia,"(-0.789275, 113.921327)",Indonesia,"(-6.1275118, 106.6536859)","Soekarno-Hatta International Airport (CGK), Jakarta, Kec. Tangerang, Kota Tangerang, Banten 19120, Indonesia"
Calcutta AirportCCU),India,"(20.593684, 78.96288)",India,"(22.6520429, 88.4463299)","Netaji Subhash Chandra Bose International Airport (CCU), Jessore Rd, Dum Dum, Kolkata, West Bengal 700052, India"
"ca 2 km SSE of Windsor Locks-Bradley International Airport, CTBDL)",United States of America,"(37.09024, -95.712891)",United States,,
near Land's End,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(44.7218123, -85.4833618)","Lands End, Traverse City, MI 49686, USA"
Bangkok-Don Muang International AirportBKK),India,"(20.593684, 78.96288)",India,"(13.9132602, 100.6041987)","Don Mueang International Airport (DMK), 222 Vibhavadi Rangsit Rd, Khwaeng Sanambin, Khet Don Mueang, Krung Thep Maha Nakhon 10210, Thailand"
"Sanday AirportNDY), Orkneys",United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(59.25031130000001, -2.5771848)","Sanday Airport (NDY), Orkney KW17 2BN, UK"
at an unknown location,Mexico,"(23.634501, -102.552784)",Mexico,,
"Denver-Stapleton International Airport, CODEN)",United States of America,"(37.09024, -95.712891)",United States,"(39.8560963, -104.6737376)","Denver International Airport (DEN), 8500 Peña Blvd, Denver, CO 80249, USA"
Sebha AirportSEB),Libya,"(26.3351, 17.228331)",Libya,"(26.993762, 14.46446)","Sabha Airport (SEB), Sabhā, Libya"
within ,Bulgaria,"(42.733883, 25.48583)",Bulgaria,"(37.7844467, -79.44325289999999)","9 W Nelson St, Lexington, VA 24450, USA"
Larnaca AirportLCA),Cyprus,"(35.126413, 33.429859)",Cyprus,"(34.8723402, 33.6203516)","Larnaca International Airport (LCA), Larnaka, Cyprus"
Beirut International AirportBEY),Lebanon,"(33.854721, 35.862285)",Lebanon,"(33.8193756, 35.4912043)","Beirut-Rafic Hariri International Airport, Beirut, Lebanon"
"Los Angeles-Van Nuys Airport, CAVNY)",United States of America,"(37.09024, -95.712891)",United States,"(34.2050869, -118.4892339)","Van Nuys Airport (VNY), 16461 Sherman Way, Van Nuys, CA 91406, USA"
Stavropol Region,Russia,"(61.52401, 105.318756)",Russia,"(44.6680993, 43.520214)","Stavropol Krai, Russia"
near Provins,France,"(46.227638, 2.213749)",France,"(48.560149, 3.299203)","77160 Provins, France"
"3,2 km2 mls) S of Montgomery-Orange County Airport, NYMGJ)",United States of America,"(37.09024, -95.712891)",United States,,
at an unknown location,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",,
near Leningrad-Rzhevka Airport,Russia,"(61.52401, 105.318756)",Russia,"(59.9813289, 30.5135495)","Rzhevka Airport (RVH), Sankt-Peterburg, Russia, 195030"
2 km1.3 mls) from  Cabimas-Oro Negro AirportCBS),Venezuela,"(6.42375, -66.58973)",Venezuela,,
"Nashville Metropolitan Airport, TNBNA)",United States of America,"(37.09024, -95.712891)",United States,"(36.126317, -86.67737129999999)","Nashville International Airport (BNA), 1 Terminal Dr, Nashville, TN 37214, USA"
"Ten Mile Creek, BC",Canada,"(56.130366, -106.346771)",Canada,"(53.0668016, -122.4471759)","Ten Mile Lake Provincial Park, BC-97, Quesnel, BC V0L, Canada"
Gorna Oryakhovitsa,Bulgaria,"(42.733883, 25.48583)",Bulgaria,"(43.1208016, 25.6896757)","Gorna Oryahovitsa, Bulgaria"
Tadibeyakha,Russia,"(61.52401, 105.318756)",Russia,,
"6,5 km4.1 mls) WSW of Harrison-Boone County Airport, ARHRO)",United States of America,"(37.09024, -95.712891)",United States,,
"Columbia-McEntire Air National Guard Base, SCMMT)",United States of America,"(37.09024, -95.712891)",United States,,
at an unknown location,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",,
"Miami International Airport, FLMIA)",United States of America,"(37.09024, -95.712891)",United States,"(25.795865, -80.2870457)","Miami International Airport (MIA), 2100 NW 42nd Ave, Miami, FL 33126, USA"
Harare AirportHRE),Zimbabwe,"(-19.015438, 29.154857)",Zimbabwe,"(-17.918784, 31.097279)","Box AP120,, Harare International Airport (HRE), Harare, Zimbabwe"
"Nairobi, Jeddah, Athens, London-Stansted",United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
Beirut International AirportBEY),Lebanon,"(33.854721, 35.862285)",Lebanon,"(33.8193756, 35.4912043)","Beirut-Rafic Hariri International Airport, Beirut, Lebanon"
"Scituate Reservoir, RI",United States of America,"(37.09024, -95.712891)",United States,"(41.7607603, -71.5931657)","Scituate Reservoir, Scituate, RI, USA"
"Netheravon, Wiltshire",United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(51.240295, -1.785885)","Netheravon, UK"
Cerro el Tablazo,Colombia,"(4.570868, -74.297333)",Colombia,"(6.2211111, -75.7472222)","Cerro El Tablazo, Heliconia, Antioquia, Colombia"
"Amarillo International Airport, TXAMA)",United States of America,"(37.09024, -95.712891)",United States,"(35.22444730000001, -101.70516)","Rick Husband Amarillo International Airport (AMA), 10801 Airport Blvd, Amarillo, TX 79111, USA"
"near King Salmon Airport, AKAKN)",United States of America,"(37.09024, -95.712891)",United States,,
near Sa Keao,Vietnam,"(14.058324, 108.277199)",Vietnam,"(13.824038, 102.0645839)","Sa Kaeo, Thailand"
Yakutsk AirportYKS) ?,Russia,"(61.52401, 105.318756)",Russia,"(62.085606, 129.75006)","Yakutsk Airport (YKS), Yakutsk, Sakha (Yakutiya) Republits, Russia, 677961"
Mt. Ipao,Philippines,"(12.879721, 121.774017)",Philippines,"(11.45, 123.266667)","Sicogon, Carles, Iloilo, Philippines"
Tokyo-Haneda AirportHND),Japan,"(36.204824, 138.252924)",Japan,"(35.5493932, 139.7798386)","Haneda Airport (HND), Hanedakuko, Ota, Tokyo 144-0041, Japan"
120 km75 mls) N of Jammu,India,"(20.593684, 78.96288)",India,,
120 km75 mls) N of Jammu,India,"(20.593684, 78.96288)",India,,
Caracas,Venezuela,"(6.42375, -66.58973)",Venezuela,"(10.4805937, -66.90360629999999)","Caracas, Capital District, Venezuela"
Mount Garbi,Djibouti,"(11.825138, 42.590275)",Djibouti,"(11.836111, 42.248611)","Garbi, Djibouti"
Havana,Cuba,"(21.521757, -77.781167)",Cuba,"(23.1135925, -82.3665956)","Havana, Cuba"
"Bogotá, Cali",Colombia,"(4.570868, -74.297333)",Colombia,"(4.6627219, -74.13314400000002)","Cra. 86, Bogotá, Colombia"
"Groton, CT",United States of America,"(37.09024, -95.712891)",United States,"(41.3497456, -72.0790717)","Groton, CT, USA"
"Groton, CT",United States of America,"(37.09024, -95.712891)",United States,"(41.3497456, -72.0790717)","Groton, CT, USA"
Bácsbokod,Hungary,"(47.162494, 19.503304)",Hungary,"(46.1234737, 19.155708)","Bácsbokod, 6453 Hungary"
near Constanta AirportCND),Romania,"(45.943161, 24.96676)",Romania,"(44.361944, 28.488333)","Mihail Kogălniceanu International Airport (CND), 4, Mihail Kogălniceanu 907195, Romania"
"Boston-Logan International Airport, MABOS)",United States of America,"(37.09024, -95.712891)",United States,"(42.3656132, -71.0095602)","Boston Logan International Airport (BOS), 1 Harborside Dr, Boston, MA 02128, USA"
10 km6.3 mls) E of Noumea-Tontouta AirportNOU),New Caledonia,"(-20.904305, 165.618042)",New Caledonia,,
"Opa-Locka West Airport, FL",United States of America,"(37.09024, -95.712891)",United States,"(25.9529678, -80.41899719999999)","Opa-locka, FL 33054, USA"
"Miami International Airport, FLMIA)",United States of America,"(37.09024, -95.712891)",United States,"(25.795865, -80.2870457)","Miami International Airport (MIA), 2100 NW 42nd Ave, Miami, FL 33126, USA"
"Corpus Christi NAS, TXNGP)",United States of America,"(37.09024, -95.712891)",United States,"(27.6935475, -97.2891138)","NAS Corpus Christi, 11001 D St #101, Corpus Christi, TX 78418, USA"
"Pearl Harbor Channel, HI",United States of America,"(37.09024, -95.712891)",United States,"(21.3531125, -157.9782156)","Pearl Harbor, Hawaii, USA"
Shevchenko,Kazakhstan,"(48.019573, 66.923684)",Kazakhstan,"(43.6410973, 51.1985113)","Aktau, Kazakhstan"
near Addis Ababa,Ethiopia,"(9.145000000000001, 40.489673)",Ethiopia,"(8.9806034, 38.7577605)","Addis Ababa, Ethiopia"
"1,4 km0.9 mls)  N of Washington-National Airport, DCDCA) [Potomac River]",United States of America,"(37.09024, -95.712891)",United States,,
130 km81.3 mls) NNE of Narsarsuaq,Greenland,"(71.706936, -42.604303)",Greenland,,
Zürich-Kloten AirportZRH),Switzerland,"(46.818188, 8.227511999999999)",Switzerland,"(47.4582165, 8.5554755)","Zurich Airport (ZRH), 8058 Zürich-Flughafen, Switzerland"
near Gelendzhik,Russia,"(61.52401, 105.318756)",Russia,"(44.5918615, 38.0241663)","Gelendzhik, Krasnodar Krai, Russia"
Barranquilla-Ernesto Cortissoz AirportBAQ),Colombia,"(4.570868, -74.297333)",Colombia,"(10.887052, -74.777007)","Aeropuerto Ernesto Cotissoz, Barranquilla, Atlántico, Colombia"
-Luqa AirportMLA),Malta,"(35.937496, 14.375416)",Malta,"(35.8541135, 14.4832795)","Malta International Airport (MLA), Luqa LQA 4000, Malta"
Praha-Ruzyne International AirportPRG),Czech Republic,"(49.81749199999999, 15.472962)",Czechia,"(50.10179100000001, 14.2631811)","Václav Havel Airport Prague (PRG), Aviatická, 161 08 Praha 6, Czechia"
Båtsfjord AirportBJF),Norway,"(60.47202399999999, 8.468945999999999)",Norway,,
Jalalabad AirportJAA),Afghanistan,"(33.93911, 67.709953)",Afghanistan,"(34.400833, 70.49722299999999)","Jalalabad Airport (JAA), AH1, Jalalabad, Afghanistan"
"1,7 km1.1 mls) S of Hailey-Sun Valley Airport, IDSUN)",United States of America,"(37.09024, -95.712891)",United States,,
Nuevo LaredoNLD),Mexico,"(23.634501, -102.552784)",Mexico,"(27.4492762, -99.568963)","Quetzalcoatl International Airport, Carretera Piedra Negra Km. 5, 88020 Nuevo Laredo, Tamps., Mexico"
Nuevo LaredoNLD),Mexico,"(23.634501, -102.552784)",Mexico,"(27.4492762, -99.568963)","Quetzalcoatl International Airport, Carretera Piedra Negra Km. 5, 88020 Nuevo Laredo, Tamps., Mexico"
"Melbourne, VIC",Australia,"(-25.274398, 133.775136)",Australia,"(-37.8136276, 144.9630576)","Melbourne VIC, Australia"
"Fayetteville-Pope AFB, NCPOB)",United States of America,"(37.09024, -95.712891)",United States,"(35.1713704, -79.0173411)","Fort Bragg, 1526 Hurst Dr, Pope Field, NC 28308, USA"
"ca 20 km W off Kuala Selangor, Straits of Malacca",Malaysia,"(4.210484, 101.975766)",Malaysia,,
"Houston-William P. Hobby Airport, TXHOU)",United States of America,"(37.09024, -95.712891)",United States,"(29.6452718, -95.2773289)","William P. Hobby Airport (HOU) (HOU), 7800 Airport Blvd, Houston, TX 77061, USA"
Playa Baracoa Airport,Cuba,"(21.521757, -77.781167)",Cuba,"(23.0323314, -82.5818448)","Playa Baracoa Airport, Cuba"
Delhi-Palam AirportDEL),India,"(20.593684, 78.96288)",India,"(28.5561624, 77.0999578)","Indira Gandhi International Airport (DEL), Indira Gandhi International Airport, New Delhi, Delhi 110037, India"
Delhi-Palam AirportDEL),India,"(20.593684, 78.96288)",India,"(28.5561624, 77.0999578)","Indira Gandhi International Airport (DEL), Indira Gandhi International Airport, New Delhi, Delhi 110037, India"
"Río Gallegos Internacional Airport, SCRGL)",Argentina,"(-38.416097, -63.61667199999999)",Argentina,"(-51.6117879, -69.30631509999999)","Río Gallegos Airport (RGL), Ruta Nacional 3, Km. 8, 9400 Río Gallegos, Santa Cruz, Argentina"
